ID,银行名称,名称缩写,银行代码,银行logo,联系电话,银行网站,英文简称
1,国家开发银行,,,1.png,010-68306688,http://www.cdb.com.cn,CDB
2,中国工商银行,工商银行,01020000,2.png,95588,http://www.icbc.com.cn,ICBC
3,中国农业银行,农业银行,01030000,3.png,95599,http://www.abchina.com,ABC
4,中国银行,,01040000,4.png,95566,http://www.boc.cn,BOC
5,中国建设银行,建设银行,01059999,5.png,95533,http://www.ccb.com,CCB
6,中国邮政储蓄银行,邮政储蓄银行,01000000,6.png,95580,http://www.psbc.com,PSBC
7,交通银行,,03010000,7.png,95559,http://www.bankcomm.com,COMM
8,招商银行,,03080000,8.png,95555,http://www.cmbchina.com,CMB
9,上海浦东发展银行,浦发银行,03100000,9.png,95528,http://www.spdb.com.cn,SPDB
10,兴业银行,,03090010,10.png,95561,http://www.cib.com.cn,CIB
11,华夏银行,,63040000,11.png,95577,http://www.hxb.com.cn/home/cn,HXBANK
12,广发银行,广东发展银行,03060000,12.png,400-830-8003,http://www.cgbchina.com.cn,GDB
13,中国民生银行,民生银行,03050000,13.png,95568,http://www.cmbc.com.cn,CMBC
14,中信银行,,03020000,14.png,95558,http://www.citicbank.com,CITIC
15,中国光大银行,光大银行,63030000,15.png,95595,http://www.cebbank.com,CEB
16,恒丰银行,,63110000,16.png,95395,http://www.egbank.com.cn,EGBANK
17,浙商银行,,03160001,17.png,95527,http://www.czbank.com,CZBANK
18,渤海银行,,03170000,18.png,400-888-8811,http://www.cbhb.com.cn,BOHAIB
19,平安银行,,04105840,19.png,95511-3,http://bank.pingan.com,SPABANK
20,东亚银行,,03200000,20.png,800-830-3811,http://www.hkbea.com.cn,HKBEA
21,韩亚银行,,03290000,21.png,400-885-1111,http://www.hanabank.cn/hana/cn/subpage_p41_sfbz.shtml,HANABANK
22,上海农村商业银行,上海农商银行,14012900,22.png,400-696-2999,http://www.srcb.com,SHRCB
23,玉溪市商业银行,,,23.png,0877-96522,http://www.yxccb.com.cn,YXCCB
24,尧都农商银行,尧都农村商业银行,,24.png,96518,http://www.ydnsh.com,YDRCB
25,北京银行,,64031000,25.png,95526,http://www.bankofbeijing.com.cn,BJBANK
26,上海银行,,04012902,26.png,95594,http://www.bankofshanghai.com,SHBANK
27,江苏银行,,05213000,27.png,95319,http://www.jsbchina.cn,JSBANK
28,杭州银行,杭州商业银行,,28.png,95398,http://www.hzbank.com.cn,HZCB
29,南京银行,,64243010,29.png,95302,http://www.njcb.com.cn,NJCB
30,宁波银行,,64083300,30.png,95574,http://www.nbcb.com.cn,NBBANK
31,徽商银行,,64403600,31.png,96588,http://www.hsbank.com.cn,HSBANK
32,长沙银行,,04615510,32.png,0731-96511,http://www.cscb.cn,CSCB
33,成都银行,成都商业银行,,33.png,400-689-6511,http://www.bocd.com.cn,CDCB
34,重庆银行,,04416900,34.png,400-709-6899,http://www.cqcbank.com,CQBANK
35,大连银行,,04202221,35.png,400-664-0099,http://www.bankofdl.com,DLB
36,南昌银行,,,36.png,400-789-2666,http://www.nccbank.com.cn,NCB
37,福建海峡银行,,04053919,37.png,400-893-9999,http://www.fjhxbank.com,FJHXBC
38,汉口银行,,05075210,38.png,400-609-6558,http://www.hkbchina.com,HKB
39,温州银行,,05063330,39.png,0577-96699,http://www.wzcb.com.cn,WZCB
40,青岛银行,,64504520,40.png,400-669-6588,http://www.qdccb.com,QDCCB
41,台州银行,,04593451,41.png,400-669-6528,http://www.tzbank.com,TZCB
42,嘉兴银行,,64703350,42.png,0573-96528,http://www.jxccb.com,JXBANK
43,常熟农村商业银行,常熟农商银行,64033055,43.png,0512-962000,http://www.csrcbank.com,CSRCB
44,南海农商银行,南海农村信用联社,14075882,44.png,96138,http://www.nanhaibank.com,NHB
45,常州农村信用联社,,,45.png,,,CZRCB
46,内蒙古银行,,64741910,46.png,400-059-6019,http://www.boimc.com.cn,H3CB
47,绍兴银行,,04283379,47.png,0575-96528,http://www.sxccb.com,SXCB
48,顺德农商银行,,,48.png,0757-22223388,http://www.sdebank.com,SDEB
49,吴江农商银行,吴江农村商业银行,14283054,49.png,96068,http://www.wjrcb.com,WJRCB
50,齐商银行,,64384530,50.png,0533-96588,http://www.qsbank.cc,ZBCB
51,贵阳银行,贵阳市商业银行,04437010,51.png,0851-6859059,http://www.gyccb.cn,GYCB
52,遵义市商业银行,,,52.png,,,ZYCBANK
53,湖州市商业银行,湖州银行,04753360,53.png,400-809-6528,http://www.hzccb.net,HZCCB
54,龙江银行,,64922690,54.png,400-645-8888,http://www.lj-bank.com,DAQINGB
55,晋城银行,,65031680,55.png,95105757,http://www.jinchengbank.com,JCBANK
56,浙江泰隆商业银行,泰隆银行,64733450,56.png,400-889-6575,http://www.zjtlcb.com,ZJTLCB
